mongo_db,mongo_collection,mongo_docs,mongo_count_actual,classification,recommendation,risk,sql_candidato_canonico,sql_rows_aprox,score,score_explicito,evidencia,dictamen,accion_recomendada,confianza,razon
edarsa_hub,rbac_roles,6,6,Usuarios / Auth / RBAC,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Sistema_RBAC_Roles,6,0.8269,1.0,"hint_explicito=1.00; tokens=rbac,roles; campos=activo,descripcion,es_sistema,nombre",CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsa_hub,rbac_usuarios_roles,72,72,Usuarios / Auth / RBAC,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Sistema_RBAC_Roles,6,0.6274,1.0,"hint_explicito=1.00; tokens=rbac,roles; campos=activo,rol_id",CUBIERTA_PARCIALMENTE,VALIDAR_MANUALMENTE,MEDIA_BAJA,Match parcial; no autoriza borrado.
edarsa_hub,roles,4,4,Usuarios / Auth / RBAC,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Sistema_RBAC_Roles,6,0.6848,1.0,"hint_explicito=1.00; tokens=roles; campos=descripcion,es_sistema,nombre",CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsa_hub,sec_bitacora_acceso,27,27,Auditoría / Logs,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Inventarios_DiferenciasDetalle,24,0.1036,0.0,campos=id,SIN_COBERTURA,REQUIERE_MIGRACION_SEMANTICA,BAJA,Sin evidencia suficiente de cobertura.
edarsa_hub,sec_bitacora_admin,61,61,Auditoría / Logs,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.RH_Homologacion_Equivalencias,56,0.1018,0.0,campos=tipo,SIN_COBERTURA,REQUIERE_MIGRACION_SEMANTICA,BAJA,Sin evidencia suficiente de cobertura.
edarsa_hub,sec_empresas,1,1,Legacy sin uso detectado,VALIDAR_MANUALMENTE,MEDIO,dbo.Sistema_Empresas,5,0.595,1.0,"hint_explicito=1.00; tokens=empresas; campos=activo,rfc",CUBIERTA_PARCIALMENTE,VALIDAR_MANUALMENTE,MEDIA_BAJA,Match parcial; no autoriza borrado.
edarsa_hub,sec_mapeo_servidor_sucursal,7,7,Legacy sin uso detectado,VALIDAR_MANUALMENTE,MEDIO,dbo.Sistema_ServidoresSucursalesConfig,7,0.5738,1.0,"hint_explicito=1.00; campos=activo,id",CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsa_hub,sec_metadata,1,1,Legacy sin uso detectado,VALIDAR_MANUALMENTE,MEDIO,dbo.Sistema_DeudaTecnica_TablasDuplicadas,9,0.5028,1.0,"hint_explicito=1.00; campos=estado,id",CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsa_hub,sec_modulos_sistema,10,10,Compras / Proveedores,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Sistema_Modulos,28,0.6929,1.0,"hint_explicito=1.00; tokens=modulos; campos=activo,codigo,descripcion,icono,nombre,orden",CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsa_hub,sec_perfiles,5,5,Usuarios / Auth / RBAC,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Usuario_Roles,22,0.5061,1.0,"hint_explicito=1.00; campos=activo,descripcion",CUBIERTA_PARCIALMENTE,VALIDAR_MANUALMENTE,MEDIA_BAJA,Match parcial; no autoriza borrado.
edarsa_hub,sec_permisos_catalogo,90,90,Auditoría / Logs,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.RBAC_Permisos,9,0.6176,1.0,"hint_explicito=1.00; tokens=permisos; campos=accion,activo,descripcion,modulo",CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsa_hub,sec_roles,5,5,Usuarios / Auth / RBAC,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Sistema_RBAC_Roles,6,0.6962,1.0,"hint_explicito=1.00; tokens=roles; campos=activo,codigo,descripcion,es_sistema,nombre",CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsa_hub,sec_sucursales,7,7,Legacy sin uso detectado,VALIDAR_MANUALMENTE,MEDIO,dbo.Sistema_Sucursales,5,0.6318,1.0,hint_explicito=1.00; tokens=sucursales; campos=activo,CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsa_hub,sec_unidades_negocio,7,7,Usuarios / Auth / RBAC,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Unidades_Negocio,5,0.7173,1.0,"hint_explicito=1.00; tokens=negocio,unidades; campos=activo,codigo,created_at,id,nombre",CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsa_hub,server_connection_status,1,1,Legacy sin uso detectado,VALIDAR_MANUALMENTE,MEDIO,dbo.Sistema_ServidoresEstado,13,0.4769,1.0,hint_explicito=1.00; campos=id,CUBIERTA_PARCIALMENTE,VALIDAR_MANUALMENTE,MEDIA_BAJA,Match parcial; no autoriza borrado.
edarsa_hub,server_status,13,13,Legacy sin uso detectado,VALIDAR_MANUALMENTE,MEDIO,dbo.Sistema_ServidoresEstado,13,0.5692,1.0,hint_explicito=1.00; campos=id,CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsa_hub,users,17,17,Auditoría / Logs,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Usuario_Catalogo,20,0.5511,1.0,"hint_explicito=1.00; campos=activo,email,nombre,telefono",CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsahub,notification_config,11,11,Configuración,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Sistema_NotificacionesConfig,6,0.4648,0.85,"hint_explicito=0.85; campos=activo,id",CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsahub,notification_templates,11,11,Legacy sin uso detectado,VALIDAR_MANUALMENTE,MEDIO,dbo.Sistema_NotificacionesConfig,6,0.4665,0.85,"hint_explicito=0.85; campos=activo,id",CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsahub,users_legacy_backup_auth_rbac_20260604,1,1,Usuarios / Auth / RBAC,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Backup_P5_RBAC_Permisos,9,0.5243,1.0,"hint_explicito=1.00; tokens=backup,rbac; campos=activo",CUBIERTA_PARCIALMENTE,VALIDAR_MANUALMENTE,MEDIA_BAJA,Match parcial; no autoriza borrado.
