mongo_db,mongo_collection,mongo_docs,mongo_size,classification,sql_candidate,sql_candidate_rows,match_score,match_evidence,risk,recommendation,reason
edarsa_hub,rbac_permisos,43,9528,Usuarios / Auth / RBAC,dbo.RBAC_Permisos,9,0.4018,"tokens_nombre=permisos,rbac; campos_match=accion,activo,descripcion,modulo",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,rbac_roles,6,4702,Usuarios / Auth / RBAC,dbo.Sistema_RBAC_Roles,6,0.4531,"tokens_nombre=rbac,roles; campos_match=activo,descripcion,es_sistema,nombre; conteo_similar mongo=6 sql~6",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,rbac_usuarios_roles,72,21672,Usuarios / Auth / RBAC,dbo.Sistema_RBAC_Roles,6,0.2196,"tokens_nombre=rbac,roles; campos_match=activo,rol_id",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,roles,4,1701,Usuarios / Auth / RBAC,dbo.Sistema_RBAC_Roles,6,0.2991,"tokens_nombre=roles; campos_match=descripcion,es_sistema,nombre",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,sec_bitacora_acceso,27,7864,Auditoría / Logs,dbo.Inventarios_DiferenciasDetalle,24,0.1569,campos_match=id; conteo_similar mongo=27 sql~24,ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,sec_bitacora_admin,61,42605,Auditoría / Logs,dbo.RH_Homologacion_Equivalencias,56,0.1568,campos_match=tipo; conteo_similar mongo=61 sql~56,ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,sec_empresas,1,404,Legacy sin uso detectado,dbo.CRM_Config_Pipelines,1,0.21,"campos_match=activo,codigo,nombre; conteo_similar mongo=1 sql~1",MEDIO,VALIDAR_MANUALMENTE,Sin equivalente SQL claro.
edarsa_hub,sec_mapeo_servidor_sucursal,7,4211,Legacy sin uso detectado,dbo.Finanzas_ConfiguracionTPV_Sucursal,8,0.1993,tokens_nombre=sucursal; campos_match=activo; conteo_similar mongo=7 sql~8,MEDIO,VALIDAR_MANUALMENTE,Sin equivalente SQL claro.
edarsa_hub,sec_metadata,1,687,Legacy sin uso detectado,dbo.Finanzas_PropinasConfig,1,0.1767,campos_match=id; conteo_similar mongo=1 sql~1,MEDIO,VALIDAR_MANUALMENTE,Sin equivalente SQL claro.
edarsa_hub,sec_modulos_sistema,10,2524,Compras / Proveedores,dbo.Sistema_Modulos,28,0.405,"tokens_nombre=modulos,sistema; campos_match=activo,codigo,descripcion,icono,nombre,orden",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,sec_perfiles,5,1360,Usuarios / Auth / RBAC,dbo.Unidades_Negocio,5,0.3038,"campos_match=activo,codigo,created_at,id,nombre; conteo_similar mongo=5 sql~5",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,sec_permisos_catalogo,90,23684,Auditoría / Logs,dbo.RBAC_Permisos,9,0.2505,"tokens_nombre=permisos; campos_match=accion,activo,descripcion,modulo",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,sec_roles,5,2026,Usuarios / Auth / RBAC,dbo.Sistema_RBAC_Roles,6,0.3538,"tokens_nombre=roles; campos_match=activo,codigo,descripcion,es_sistema,nombre; conteo_similar mongo=5 sql~6",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,sec_sucursales,7,3084,Legacy sin uso detectado,dbo.Unidades_Negocio,5,0.2321,"campos_match=activo,codigo,created_at,id,nombre",MEDIO,VALIDAR_MANUALMENTE,Sin equivalente SQL claro.
edarsa_hub,sec_unidades_negocio,7,4139,Usuarios / Auth / RBAC,dbo.Unidades_Negocio,5,0.3871,"tokens_nombre=negocio,unidades; campos_match=activo,codigo,created_at,id,nombre",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,server_connection_status,1,191,Legacy sin uso detectado,dbo.Finanzas_PropinasConfig,1,0.1808,campos_match=id; conteo_similar mongo=1 sql~1,MEDIO,VALIDAR_MANUALMENTE,Sin equivalente SQL claro.
edarsa_hub,server_status,13,2107,Legacy sin uso detectado,dbo.Sistema_ServidoresEstado,13,0.1808,campos_match=id; conteo_similar mongo=13 sql~13,MEDIO,VALIDAR_MANUALMENTE,Sin equivalente SQL claro.
edarsa_hub,users,17,13899,Auditoría / Logs,dbo.Usuario_LogRecuperacion,17,0.1654,campos_match=email; conteo_similar mongo=17 sql~17,ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
test_database,auditoria_financiera,274,161612,Pruebas / Test,dbo.Sync_Productos_SubFamilias,264,0.1445,conteo_similar mongo=274 sql~264,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,auditorias_programadas,1,622,Pruebas / Test,dbo.automatizacion_inventarios_folios_procesados,1,0.191,"campos_match=created_at,created_by,sucursal_id,updated_at; conteo_similar mongo=1 sql~1",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,automatizaciones_bitacora,1,639,Pruebas / Test,dbo.Finanzas_PropinasConfig,1,0.169,campos_match=id; conteo_similar mongo=1 sql~1,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,automatizaciones_operativas_compras,2,2499,Pruebas / Test,dbo.Compras_PedidosProcesadosAutomatizacion,2,0.2398,tokens_nombre=compras; campos_match=id; conteo_similar mongo=2 sql~2,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,cargos_economicos,2,1444,Pruebas / Test,dbo.CavaSocios_Cargos,1,0.165,tokens_nombre=cargos,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,cargos_economicos_log,7,2903,Pruebas / Test,dbo.Sistema_ServidoresSucursalesConfig,7,0.169,campos_match=id; conteo_similar mongo=7 sql~7,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,config_catalogos,1,78,Pruebas / Test,dbo.CRM_Config_Pipelines,1,0.225,tokens_nombre=config; conteo_similar mongo=1 sql~1,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,configuracion_operativa,9,1732,Pruebas / Test,dbo.Configuracion_Operativa,9,0.5083,"tokens_nombre=configuracion,operativa; campos_match=clave,descripcion,id,valor; conteo_similar mongo=9 sql~9",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,configuracion_operativo,1,153,Pruebas / Test,dbo.Configuracion_Operativa,9,0.24,"tokens_nombre=configuracion; campos_match=clave,id,tipo,valor",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,consultas_custom,4,12744,Pruebas / Test,dbo.CRM_Cat_TiposPipeline,4,0.2,"campos_match=descripcion,nombre; conteo_similar mongo=4 sql~4",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,decisiones_auditoria,0,0,Pruebas / Test,dbo.Auditoria_Informes,0,0.09,tokens_nombre=auditoria,BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
test_database,detalle_diferencias,48,30309,Pruebas / Test,dbo.Products,37,0.1585,"campos_match=familia,id,subfamilia",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,documentos_generados,9,2450,Pruebas / Test,dbo.Sistema_DeudaTecnica_TablasDuplicadas,9,0.1833,campos_match=id; conteo_similar mongo=9 sql~9,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,historial_asignaciones,0,0,Pruebas / Test,dbo.Config_Asignaciones,2,0.09,tokens_nombre=asignaciones,BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
test_database,informes_auditoria,3,5197,Pruebas / Test,dbo.Auditoria_Informes,0,0.225,"tokens_nombre=auditoria,informes",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,inventario_diferencias_cache,1,643,Pruebas / Test,dbo.automatizacion_inventarios_folios_procesados,1,0.2115,"campos_match=almacen_id,comentario,server_id,sucursal_id; conteo_similar mongo=1 sql~1",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,inventario_diferencias_detalle,19,521866,Pruebas / Test,dbo.Tareas_Inventario,18,0.2292,tokens_nombre=inventario; campos_match=id; conteo_similar mongo=19 sql~18,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,inventarios_fisicos_procesados,1,188,Pruebas / Test,dbo.automatizacion_inventarios_folios_procesados,1,0.3513,"tokens_nombre=inventarios,procesados; campos_match=almacen_id,estado,server_id,sucursal_id; conteo_similar mongo=1 sql~1",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,justificaciones_inventario,0,0,Pruebas / Test,dbo.Inventario_Almacenes,39,0.09,tokens_nombre=inventario,BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
test_database,kpis_cache,46,33482,Pruebas / Test,dbo.Comercial_KPIs_Cache,0,0.2164,"tokens_nombre=cache,kpis; campos_match=status",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,nomina_ciclos,3,5247,Pruebas / Test,dbo.Comercial_Ventas_Dia_Abiertas_v2_backup_migracion_codigos_20260513_0558,3,0.1985,"campos_match=fecha_ultima_actualizacion,id,sucursal_id,sucursal_nombre; conteo_similar mongo=3 sql~3",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,nomina_configuracion,1,310,Pruebas / Test,dbo.Finanzas_PropinasConfig,1,0.1711,campos_match=id; conteo_similar mongo=1 sql~1,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,nomina_kpis_puestos,1,326,Pruebas / Test,dbo.Finanzas_PropinasConfig,1,0.1786,campos_match=id; conteo_similar mongo=1 sql~1,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,nomina_movimientos,3,1335,Pruebas / Test,dbo.CavaSocios_Movimientos,3,0.24,tokens_nombre=movimientos; conteo_similar mongo=3 sql~3,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,notificaciones_log,4,1983,Pruebas / Test,dbo.Operativo_Notificaciones_Log,0,0.2527,"tokens_nombre=log,notificaciones; campos_match=canal,destinatario,estado,id",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,notification_config,6,2638,Pruebas / Test,dbo.CRM_Config_PipelineEtapas,7,0.2161,tokens_nombre=config; campos_match=activo; conteo_similar mongo=6 sql~7,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,notification_log,0,0,Pruebas / Test,dbo.Compras_Sync_Log,387,0.075,tokens_nombre=log,BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
test_database,notification_provider_config,2,663,Pruebas / Test,dbo.Config_Asignaciones,2,0.2404,tokens_nombre=config; campos_match=id; conteo_similar mongo=2 sql~2,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,notification_queue,0,0,Pruebas / Test,,,0,,BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
test_database,notification_templates,9,4035,Pruebas / Test,dbo.Unidades_Negocio,5,0.2433,"campos_match=activo,codigo,created_at,id,nombre,updated_at",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,permisos_catalogos,2,495,Pruebas / Test,dbo.Compras_PedidosProcesadosAutomatizacion,2,0.1786,campos_match=id; conteo_similar mongo=2 sql~2,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,portal_suppliers,1,700,Pruebas / Test,dbo.Sync_Vtiger_Contactos,1,0.1695,"campos_match=email,telefono; conteo_similar mongo=1 sql~1",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,propinas_cache_listado,7,2929,Pruebas / Test,dbo.Sistema_ServidoresSucursalesConfig,7,0.1808,campos_match=id; conteo_similar mongo=7 sql~7,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,queries,4,9753,Pruebas / Test,dbo.Sistema_Queries,4,0.2892,tokens_nombre=queries; campos_match=id; conteo_similar mongo=4 sql~4,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,rbac_audit_log,370,231954,Pruebas / Test,dbo.Compras_Sync_Log,387,0.2287,tokens_nombre=log; campos_match=id; conteo_similar mongo=370 sql~387,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,rbac_permisos,43,9528,Pruebas / Test,dbo.RBAC_Permisos,9,0.4018,"tokens_nombre=permisos,rbac; campos_match=accion,activo,descripcion,modulo",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,rbac_roles,6,4680,Pruebas / Test,dbo.Sistema_RBAC_Roles,6,0.4531,"tokens_nombre=rbac,roles; campos_match=activo,descripcion,es_sistema,nombre; conteo_similar mongo=6 sql~6",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,rbac_usuarios_roles,0,0,Pruebas / Test,dbo.Sistema_RBAC_Roles,6,0.15,"tokens_nombre=rbac,roles",BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
test_database,responsabilidad_economica,5,4061,Pruebas / Test,dbo.Comercial_Ventas_Dia_Abiertas_v2_Backup_FechaOperacion_20260521,5,0.1786,"campos_match=fecha_ultima_actualizacion,id,sucursal_id; conteo_similar mongo=5 sql~5",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,responsabilidad_historial,37,15662,Pruebas / Test,dbo.propinas_tpv_historial,0,0.2013,"tokens_nombre=historial; campos_match=accion,estado_anterior,estado_nuevo,fecha,id,usuario_id",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,roles,4,1786,Pruebas / Test,dbo.Sistema_RBAC_Roles,6,0.2991,"tokens_nombre=roles; campos_match=descripcion,es_sistema,nombre",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,scheduler_job_log,590,523759,Pruebas / Test,dbo.Compras_Sync_Log,387,0.199,"tokens_nombre=log; campos_match=id,status",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,scheduler_locks,0,0,Pruebas / Test,dbo.Scheduler_BitacoraJobs,130044,0.09,tokens_nombre=scheduler,BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
test_database,script_logs,19,112152,Pruebas / Test,dbo.Tareas_Inventario,18,0.1663,"campos_match=id,titulo; conteo_similar mongo=19 sql~18",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,scripts_pendientes,58,120112,Pruebas / Test,dbo.RH_Homologacion_Equivalencias,56,0.163,campos_match=estado; conteo_similar mongo=58 sql~56,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,sec_bitacora_acceso,0,0,Pruebas / Test,dbo.RH_Importacion_Bitacora,7,0.0643,tokens_nombre=bitacora,BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
test_database,sec_empresas,1,404,Pruebas / Test,dbo.CRM_Config_Pipelines,1,0.21,"campos_match=activo,codigo,nombre; conteo_similar mongo=1 sql~1",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,sec_mapeo_servidor_sucursal,7,4211,Pruebas / Test,dbo.Finanzas_ConfiguracionTPV_Sucursal,8,0.1993,tokens_nombre=sucursal; campos_match=activo; conteo_similar mongo=7 sql~8,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,sec_metadata,1,687,Pruebas / Test,dbo.Finanzas_PropinasConfig,1,0.1767,campos_match=id; conteo_similar mongo=1 sql~1,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,sec_modulos_sistema,10,2524,Pruebas / Test,dbo.Sistema_Modulos,28,0.405,"tokens_nombre=modulos,sistema; campos_match=activo,codigo,descripcion,icono,nombre,orden",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,sec_permisos_catalogo,89,23385,Pruebas / Test,dbo.RBAC_Permisos,9,0.2506,"tokens_nombre=permisos; campos_match=accion,activo,descripcion,modulo",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,sec_sucursales,7,3084,Pruebas / Test,dbo.Unidades_Negocio,5,0.2321,"campos_match=activo,codigo,created_at,id,nombre",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,sec_unidades_negocio,7,4139,Pruebas / Test,dbo.Unidades_Negocio,5,0.3871,"tokens_nombre=negocio,unidades; campos_match=activo,codigo,created_at,id,nombre",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,server_status,9,1407,Pruebas / Test,dbo.Sistema_DeudaTecnica_TablasDuplicadas,9,0.1864,campos_match=id; conteo_similar mongo=9 sql~9,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,server_sucursales_config,7,3490,Pruebas / Test,dbo.RH_Cat_Sucursales,8,0.2298,tokens_nombre=sucursales; campos_match=activa; conteo_similar mongo=7 sql~8,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,servers,11,13012,Pruebas / Test,dbo.Servidores_Conexiones,23,0.2717,"campos_match=categorias,created_at,departamentos,es_editable_ui,es_eliminable_ui,host,id,port,queries_configured,query_inventario,query_movimientos,query_ventas,sucursales,system_type,tipo_conexion",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,solicitudes_catalogos,10,12688,Pruebas / Test,dbo.Auditoria_Inventario_Provisional,9,0.1585,"campos_match=id,notas; conteo_similar mongo=10 sql~9",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,tareas_inventario,26,6477,Pruebas / Test,dbo.Tareas_Inventario,18,0.392,"tokens_nombre=inventario,tareas; campos_match=ciclo,descripcion,id,prioridad,titulo,vencida",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,tareas_sistema,22,12127,Pruebas / Test,dbo.Sistema_TurnosOperativosUnidad,20,0.2744,"tokens_nombre=sistema; campos_match=creado_por,fecha_creacion,id; conteo_similar mongo=22 sql~20",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,users,16,7354,Pruebas / Test,dbo.Sistema_MigracionMongoColecciones,16,0.1722,campos_match=id; conteo_similar mongo=16 sql~16,MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
test_database,workflow_inventarios,28,7378,Pruebas / Test,dbo.Workflow_Inventarios,18,0.3392,"tokens_nombre=inventarios,workflow; campos_match=estado,id",MEDIO,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,Base de pruebas; respaldo certificado. Requiere autorización final.
cab003,auditorias_programadas,0,0,Auditoría / Logs,,,0,,BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
cab003,auditorias_programadas_log,0,0,Auditoría / Logs,dbo.Compras_Sync_Log,387,0.075,tokens_nombre=log,BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
cab003,cargos_economicos,5,3490,Legacy sin uso detectado,dbo.Comercial_Ventas_Dia_Abiertas_v2_Backup_FechaOperacion_20260521,5,0.1705,"campos_match=id,sucursal_id; conteo_similar mongo=5 sql~5",MEDIO,VALIDAR_MANUALMENTE,Sin equivalente SQL claro.
cab003,cargos_economicos_log,0,0,Auditoría / Logs,dbo.CavaSocios_Cargos,1,0.09,tokens_nombre=cargos,BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
cab003,detalle_diferencias,18,5472,Legacy sin uso detectado,dbo.Sistema_TurnosOperativosUnidad,20,0.1731,"campos_match=fecha_creacion,id; conteo_similar mongo=18 sql~20",MEDIO,VALIDAR_MANUALMENTE,Sin equivalente SQL claro.
cab003,notificaciones_log,4,2260,Auditoría / Logs,dbo.Operativo_Notificaciones_Log,0,0.2977,"tokens_nombre=log,notificaciones; campos_match=canal,destinatario,estado,id",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
cab003,responsabilidad_economica,5,4035,Configuración,dbo.Comercial_Ventas_Dia_Abiertas_v2_Backup_FechaOperacion_20260521,5,0.1786,"campos_match=fecha_ultima_actualizacion,id,sucursal_id; conteo_similar mongo=5 sql~5",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
cab003,responsabilidad_historial,10,3940,Usuarios / Auth / RBAC,dbo.propinas_tpv_historial,0,0.2163,"tokens_nombre=historial; campos_match=accion,estado_anterior,estado_nuevo,fecha,id,usuario_id",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
cab003,users,0,0,Usuarios / Auth / RBAC,,,0,,BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
cab003,workflow_inventarios,0,0,Inventarios,dbo.Workflow_Inventarios,18,0.3,"tokens_nombre=inventarios,workflow",BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
edarsahub,notification_config,11,4366,Configuración,dbo.Compras_ConciliacionSATEstatus,11,0.2167,"campos_match=activo,descripcion; conteo_similar mongo=11 sql~11",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsahub,notification_log,0,0,Auditoría / Logs,dbo.Compras_Sync_Log,387,0.09,tokens_nombre=log,BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
edarsahub,notification_queue,0,0,Vacía / Sin datos,,,0,,BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
edarsahub,notification_templates,11,4914,Legacy sin uso detectado,dbo.CRM_Cat_OrigenLead,11,0.23,"campos_match=activo,codigo,nombre; conteo_similar mongo=11 sql~11",MEDIO,VALIDAR_MANUALMENTE,Sin equivalente SQL claro.
