Modulo,Menu,RutaFrontend,ArchivoFrontend,Endpoint,ArchivoBackend,TablaEDARSAHUB,JobSync,OrigenSync,Frecuencia,UsaSelectedServer,SelectedServerModo,UsaUnidadNegocioID,UsaEmpresaID,UsaServidorConexionID,LeeMongoDB,FallbackMongoDB,CacheFrontend,CacheBackend,ConexionLive,Clasificacion,Riesgo,Correccion,Prioridad
Comercial,Costos y Márgenes,/comercial/costos-margenes,CostosMargenes.jsx,GET /api/costos/*,comercial/routes_costos.py,Costos_Margen_*,N/A,Manual,N/A,NO,N/A,SI,SI,NO,NO,NO,React Query,NO,NO,OK_SQL_ONLY,BAJO,Ninguna,OK
Comercial,Pricing IA,/comercial/pricing-ia,PricingIA.jsx,GET /api/pricing/*,comercial/routes_pricing_ai.py,Pricing_*,N/A,Manual,N/A,NO,N/A,SI,SI,NO,NO,NO,React Query,NO,NO,OK_SQL_ONLY,BAJO,Ninguna,OK
CRM,Dashboard,/crm/dashboard,CRMDashboard.jsx,GET /api/crm/*,crm/routes.py,CRM_*,N/A,Manual,N/A,NO,N/A,SI,SI,NO,VERIFICAR,VERIFICAR,React Query,NO,VERIFICAR,REQUIERE_VERIFICACION,MEDIO,Auditar fuente,P1
CRM,Leads,/crm/leads,LeadsPage.jsx,GET /api/crm/leads,crm/routes.py,CRM_Leads,N/A,Manual,N/A,NO,N/A,SI,SI,NO,VERIFICAR,VERIFICAR,React Query,NO,VERIFICAR,REQUIERE_VERIFICACION,MEDIO,Auditar fuente,P1
CRM,Oportunidades,/crm/oportunidades,OportunidadesPage.jsx,GET /api/crm/oportunidades,crm/routes.py,CRM_Oportunidades,N/A,Manual,N/A,NO,N/A,SI,SI,NO,VERIFICAR,VERIFICAR,React Query,NO,VERIFICAR,REQUIERE_VERIFICACION,MEDIO,Auditar fuente,P1
CRM,Pipeline,/crm/pipeline,PipelinePage.jsx,GET /api/crm/pipeline,crm/routes.py,CRM_Pipeline,N/A,Manual,N/A,NO,N/A,SI,SI,NO,VERIFICAR,VERIFICAR,React Query,NO,VERIFICAR,REQUIERE_VERIFICACION,MEDIO,Auditar fuente,P1
CRM,Cuentas,/crm/cuentas,CuentasPage.jsx,GET /api/crm/cuentas,crm/routes.py,CRM_Cuentas,N/A,Manual,N/A,NO,N/A,SI,SI,NO,VERIFICAR,VERIFICAR,React Query,NO,VERIFICAR,REQUIERE_VERIFICACION,MEDIO,Auditar fuente,P1
CRM,Cotizaciones,/crm/cotizaciones,CotizacionesPage.jsx,GET /api/crm/cotizaciones,crm/routes.py,CRM_Cotizaciones,N/A,Manual,N/A,NO,N/A,SI,SI,NO,VERIFICAR,VERIFICAR,React Query,NO,VERIFICAR,REQUIERE_VERIFICACION,MEDIO,Auditar fuente,P1
CRM,Pedidos,/crm/pedidos,PedidosPage.jsx,GET /api/crm/pedidos,crm/routes.py,CRM_Pedidos,N/A,Manual,N/A,NO,N/A,SI,SI,NO,VERIFICAR,VERIFICAR,React Query,NO,VERIFICAR,REQUIERE_VERIFICACION,MEDIO,Auditar fuente,P1
CRM,Remisiones,/crm/remisiones,RemisionesPage.jsx,GET /api/crm/remisiones,crm/routes.py,CRM_Remisiones,N/A,Manual,N/A,NO,N/A,SI,SI,NO,VERIFICAR,VERIFICAR,React Query,NO,VERIFICAR,REQUIERE_VERIFICACION,MEDIO,Auditar fuente,P1
Operaciones,Reportes/Dashboard,/reportes,Reportes.js,GET /api/operaciones/*,fase2_operativo/*.py,NINGUNA,NINGUNO,N/A,N/A,SI,FILTRO_LOGICO,SI,SI,NO,SI,SI,React Query,NO,NO,VIOLACION_MONGODB,ALTO,Migrar a SQL,P0
Operaciones,Tareas,/mis-tareas,MisTareas.js,GET /api/tareas/*,fase2_operativo/repositories/tarea_repository.py,NINGUNA,NINGUNO,N/A,N/A,NO,N/A,NO,NO,NO,SI,NO,React Query,NO,NO,VIOLACION_MONGODB,ALTO,Migrar a SQL,P0
Operaciones,Workflows,N/A,N/A,GET /api/workflows/*,fase2_operativo/repositories/workflow_repository.py,NINGUNA,NINGUNO,N/A,N/A,NO,N/A,NO,NO,NO,SI,NO,NO,NO,NO,VIOLACION_MONGODB,ALTO,Migrar a SQL,P0
Compras,Compras,/compras,Compras.js,GET /api/compras/*,compras/routes.py,Scheduler_PedidosProcesados,pedidos_detector,MPRO,1min,NO,N/A,SI,SI,NO,NO,NO,React Query,NO,NO,OK_SQL_ONLY,BAJO,Ninguna,OK
Finanzas,Finanzas,/finanzas,Finanzas.js,GET /api/finanzas/*,finanzas/routes.py,Finanzas_*,N/A,Manual,N/A,SI,FILTRO_LOGICO,SI,SI,NO,PARCIAL,PARCIAL,React Query,NO,PARCIAL,RIESGO_MONGODB,MEDIO,Auditar y migrar,P1
Finanzas,Cuadres Z,N/A,N/A,GET /api/finanzas/cuadres-z,finanzas/repository_cuadres_z.py,NINGUNA,NINGUNO,N/A,N/A,SI,CONEXION_REAL,NO,NO,SI,SI,NO,NO,NO,PARCIAL,VIOLACION_MONGODB,ALTO,Migrar a SQL,P1
Producción,Tablajería Dashboard,/tablajeria,TablajeriaDashboard.jsx,GET /api/tablajeria/*,tablajeria/routes.py,Operaciones_Tablaje_*,N/A,Manual,N/A,SI,FILTRO_LOGICO,SI,SI,NO,NO,NO,React Query,NO,NO,OK_SQL_ONLY,BAJO,Ninguna,OK
Producción,Tablajería Órdenes,/tablajeria/ordenes,OrdenesPage.jsx,GET /api/tablajeria/ordenes,tablajeria/routes.py,Operaciones_Tablaje_Ordenes,N/A,Manual,N/A,SI,FILTRO_LOGICO,SI,SI,NO,NO,NO,React Query,NO,NO,OK_SQL_ONLY,BAJO,Ninguna,OK
Producción,Tablajería Plantillas,/tablajeria/plantillas,PlantillasPage.jsx,GET /api/tablajeria/plantillas,tablajeria/routes.py,Operaciones_Tablaje_Plantillas,N/A,Manual,N/A,NO,N/A,SI,SI,NO,NO,NO,React Query,NO,NO,OK_SQL_ONLY,BAJO,Ninguna,OK
Admin,Servidores,/servidores,Servidores.js,GET /api/servers,server.py,Servidores_Conexiones,N/A,Manual,N/A,NO,N/A,NO,NO,NO,NO,NO,React Query,LRU 5min,NO,OK_SQL_ONLY,BAJO,Ninguna,OK
Admin,Usuarios,/usuarios,Usuarios.js,GET /api/users,auth/routes.py,Usuario_Catalogo,N/A,Manual,N/A,NO,N/A,NO,NO,NO,NO,NO,React Query,NO,NO,OK_SQL_ONLY,BAJO,Ninguna,OK
Admin,Scheduler,/scheduler,Scheduler.jsx,GET /api/scheduler/*,scheduler/routes.py,Sistema_Scheduler_*,N/A,Manual,N/A,NO,N/A,NO,NO,NO,NO,NO,React Query,NO,NO,OK_SQL_ONLY,BAJO,Ninguna,OK
Admin,Catálogo Consultas,/catalogo-consultas,CatalogoConsultas.js,GET /api/catalogos/*,catalogos/routes.py,Catalogo_Consultas,N/A,Manual,N/A,NO,N/A,NO,NO,NO,NO,NO,React Query,NO,NO,OK_SQL_ONLY,BAJO,Ninguna,OK
Admin,Explorador BD,/explorador-bd,ExploradorBD.js,POST /api/universal-query/execute,universal_query/routes.py,CUALQUIERA,N/A,LIVE,N/A,SI,CONEXION_REAL,NO,NO,SI,NO,NO,NO,NO,SI,OK_ADMIN_ONLY,BAJO,Solo admins,OK
Admin,DBA Credentials,/admin/dba-credential,DBACredentialManager.jsx,POST /api/admin/dba-credential/*,dba_credential_p0d.py,IN_MEMORY,N/A,Manual,N/A,NO,N/A,NO,NO,NO,NO,NO,NO,IN_MEMORY,NO,OK_ADMIN_ONLY,BAJO,Solo admins,OK
Admin,Config Operativa,/admin/configuracion-operativa,ConfiguracionOperativaUnidades.jsx,GET /api/unidades/*/configuracion-operativa,configuracion_operativa_unidades.py,Sistema_HorariosServicioUnidad,N/A,Manual,N/A,NO,N/A,SI,NO,NO,NO,NO,React Query,NO,NO,OK_SQL_ONLY,BAJO,Ninguna,OK
RRHH,Recursos Humanos,/recursos-humanos,RecursosHumanos.js,GET /api/rh/*,rh/routes.py,RH_*,N/A,Manual,N/A,NO,N/A,SI,SI,NO,VERIFICAR,VERIFICAR,React Query,NO,VERIFICAR,REQUIERE_VERIFICACION,MEDIO,Auditar fuente,P2
RRHH,Importador RH,/importador-rh,ImportadorRH.js,POST /api/rh/importar,rh/importador/routes.py,RH_*,N/A,Manual,N/A,NO,N/A,SI,SI,NO,NO,NO,NO,NO,NO,OK_SQL_ONLY,BAJO,Ninguna,OK
Cava,Cava Socios,/cava-socios,CavaSociosDashboard.jsx,GET /api/cava-socios/*,cava_socios/routes.py,CavaSocios_*,N/A,Manual,N/A,NO,N/A,SI,SI,NO,VERIFICAR,VERIFICAR,React Query,NO,VERIFICAR,REQUIERE_VERIFICACION,MEDIO,Auditar fuente,P2
Alertas,Alertas,/alertas,Alertas.jsx,GET /api/alertas/*,alertas/routes.py,Alertas_Sistema,N/A,Manual,N/A,NO,N/A,SI,SI,NO,NO,NO,React Query,NO,NO,OK_SQL_ONLY,BAJO,Ninguna,OK
