severity,classification,module,pattern,file,line,code
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,1469,"totales[k] += kpis_mpro.get(k, 0)"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,1470,"totales[""pendiente_cerrar""] += kpis_mpro.get(""pendiente_cerrar"", 0)"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,1506,unidades_mpro = get_kpis_mpro_por_sucursal(
ALTA,PROHIBIDO_FRONTEND_FILTROS,Comercial,frontend api servers,/app/backend/modules/comercial/routes.py,1761,# Los servidores con tipo_conexion=API_LOCAL no se incluyen en /api/servers
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,3120,# KPIs generales de mesas para MPRO
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,3856,"# El frontend envía nombres (ORIGEN, QUERETARO) pero MPRO usa códigos (0023, 0021)"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4587,edarsahub_kpis_mpro = get_dashboard_kpis_from_edarsahub(
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4598,if edarsahub_kpis_mpro:
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4600,"logging.info(f""[DASHBOARD-FIX-MPRO] {server['name']}: Usando datos de EDARSAHUB (ventas=${edarsahub_kpis_mpro['ventas_periodo']:,.2f})"")"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4604,"""source_message"": f""Datos consolidados de EDARSAHUB ({edarsahub_kpis_mpro['registros_consultados']} días)"","
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4605,"""source_type"": edarsahub_kpis_mpro['source'],"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4611,"""ventas_periodo"": edarsahub_kpis_mpro['ventas_periodo'],"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4612,"""ticket_promedio"": edarsahub_kpis_mpro['ticket_promedio'],"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4613,"""cheques_total"": edarsahub_kpis_mpro['cheques_total'],"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4614,"""pax_total"": edarsahub_kpis_mpro['pax_total'],"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4615,"""pax_promedio"": edarsahub_kpis_mpro['pax_promedio'],"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4616,"""consumo_persona"": edarsahub_kpis_mpro['consumo_persona'],"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4617,"""mesas_atendidas"": edarsahub_kpis_mpro['mesas_atendidas'],"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4618,"""rotacion_mesas"": edarsahub_kpis_mpro['rotacion_mesas'],"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4619,"""venta_por_hora"": edarsahub_kpis_mpro['venta_por_hora']"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4622,"""vs_periodo_anterior"": edarsahub_kpis_mpro['vs_periodo_anterior'],"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4623,"""vs_ano_anterior"": edarsahub_kpis_mpro['vs_ano_anterior'],"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4624,"""vs_presupuesto"": edarsahub_kpis_mpro['vs_presupuesto'],"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4626,"""ventas_anterior"": edarsahub_kpis_mpro['ventas_anterior'],"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4627,"""ventas_ano_anterior"": edarsahub_kpis_mpro['ventas_ano_anterior']"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4634,# FASE 1B-R1: CORRECCIÓN NO-LIVE DASHBOARD MPRO
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4639,"logging.warning(f""[DASHBOARD-NO-LIVE-MPRO] {server['name']}: EDARSAHUB sin datos vigentes, verificando snapshot histórico"")"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4648,"logging.info(f""[DASHBOARD-NO-LIVE-MPRO] {server['name']}: Retornando datos STALE de {stale_snapshot_mpro['fecha_snapshot']}"")"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4658,"""kpis"": stale_snapshot_mpro.get('kpis'),"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,4668,"logging.warning(f""[DASHBOARD-NO-LIVE-MPRO] {server['name']}: Sin datos en EDARSAHUB, retornando SIN_DATOS_EDARSAHUB"")"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes_competidores_enterprise.py,2,FASE 1C-3I-B v2: Endpoints Enterprise de Competidores por Unidad de Negocio
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes_competidores_enterprise.py,32,"router = APIRouter(prefix=""/comercial"", tags=[""Competidores Enterprise""])"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,11,- Migrado: get_kpis_softrestaurant() desde server.py
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,12,- Migrado: get_kpis_mpro() desde server.py
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,13,- Migrado: get_kpis_mpro_por_sucursal() desde server.py
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,527,"RAZÓN: Para MPRO, los datos en Comercial_KPIs_Diarios_v2 tienen un server_id"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,1369,"def get_kpis_softrestaurant(server, fecha_ini, fecha_fin, fecha_ini_ant, fecha_fin_ant, fecha_ini_año_ant, fecha_fin_año_ant, dias_transcurridos, dias_mes, solo_ventas_dia=False):"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,1371,TABLERO EJECUTIVO - KPIs SoftRestaurant desde EDARSAHUB
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,1499,"def get_kpis_mpro(server, fecha_ini, fecha_fin, fecha_ini_ant, fecha_fin_ant, fecha_ini_año_ant, fecha_fin_año_ant, dias_transcurridos, dias_mes):"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,1501,TABLERO EJECUTIVO - KPIs MPRO desde EDARSAHUB
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,1511,"Para KPIs por sucursal individual, usar get_kpis_mpro_por_sucursal."
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,1522,"logging.warning(f""[TABLERO-EDARSAHUB] {nombre}: server_id {server_id} no tiene mapeo de unidad MPRO"")"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,1534,# Agregar KPIs de todas las sucursales MPRO
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,1674,"def get_kpis_mpro_por_sucursal(server, fecha_ini, fecha_fin, fecha_ini_ant, fecha_fin_ant, fecha_ini_año_ant, fecha_fin_año_ant, dias_transcurridos, dias_mes, solo_ventas_dia=False):"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,1676,Query para MPRO que devuelve KPIs DIVIDIDOS POR SUCURSAL (como en Inventarios).
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,1815,"# - Para modo HUB (Tablero Ejecutivo), MPRO debe leer de EDARSAHUB SQL"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,1816,"# - NO consultar servidores MPRO directamente (bases QUERETARO, ORIGEN)"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,1817,# - Usar la misma fuente que SoftRestaurant: Comercial_KPIs_Diarios_v2
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,1861,"kpis['system_type'] = ""MPRO"""
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,1923,"logging.info(f""[TABLERO] MPRO {server['name']}: Conexión OK - Fechas: {fecha_ini} a {fecha_fin}"")"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,2005,"logging.info(f""MPRO {server['name']}: Consultando ventas del {fi} al {ff}"")"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,2015,"f""Error consultando MPRO por sucursal {server['name']}: {result_principal.error} """
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,2261,def get_kpis_mpro_con_estado(
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,2268,FASE 4.4: Obtiene KPIs de MPRO con envelope de estado.
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,2287,"unidades = get_kpis_mpro_por_sucursal(server, fecha_ini, fecha_fin, solo_ventas_dia)"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,2335,"'get_kpis_softrestaurant',"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,2336,"'get_kpis_mpro',"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,2337,"'get_kpis_mpro_por_sucursal',"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,2339,"'get_kpis_mpro_con_estado',"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,2378,NO consulta: Servidores remotos SoftRestaurant
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,2538,# Este fallback maneja el caso donde los datos MPRO en Comercial_KPIs_Diarios_v2
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,2546,"logging.info(f""[DASHBOARD-EDARSAHUB-MPRO-FIX] Intentando búsqueda por unidad_negocio_id: {unidad_ids}"")"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,2564,result_mpro = _query_edarsahub_tablero(query_mpro)
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/service.py,2575,"f""[DASHBOARD-EDARSAHUB-MPRO-FIX] Datos MPRO encontrados por unidad_negocio_id: """
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial_v2/carga_historica_24_meses.py,19,"- SoftRestaurant: ventas cerradas en KPIs, temporales en tabla separada"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial_v2/carga_historica_24_meses.py,629,"reporte_mes = cargar_mes_softrestaurant(unidad, run_id, mes, anio)"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial_v2/carga_historica_24_meses.py,631,"reporte_mes = cargar_mes_mpro(unidad, run_id, mes, anio)"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial_v2/carga_historica_abril_2026.py,774,reporte_unidad = cargar_unidad_softrestaurant(
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial_v2/carga_historica_abril_2026.py,778,reporte_unidad = cargar_unidad_mpro(
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial_v2/mappers.py,75,Mapea un registro de SoftRestaurant (cheques + turnos) a KPIs Diarios v2.
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial_v2/mappers.py,207,Mapea un registro de MPRO (Venta_Encabezado) a KPIs Diarios v2.
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial_v2/schemas.py,59,"""""""Datos de KPIs diarios desde el origen (SoftRestaurant/MPRO)"""""""
ALTA,PROHIBIDO_FRONTEND_FILTROS,Comercial,frontend api servers,/app/backend/tests/test_comercial.py,120,"f""{api_base_url}/api/servers"","
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/tests/test_dashboard_comercial.py,69,"valid_types = [""MPRO"", ""SoftRestaurant"", ""Otro""]"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/frontend/src/pages/Comercial.js,14,* ║ - Integración con servidores MPRO y SoftRestaurant                         ║
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/frontend/src/pages/Comercial.js,1392,Fuente: {fuentePaxHoy === 'tempcheques' ? 'Ventas sin corte (tempcheques)' : fuentePaxHoy === 'api_local' ? 'API Local MPRO' : fuentePaxHoy}
ALTA,PROHIBIDO_FRONTEND_FILTROS,Comercial,frontend api servers,/app/frontend/src/pages/Comercial.js,2807,// NO hacer llamada adicional a /api/servers/.../sucursales que no respeta RBAC
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/frontend/src/pages/comercial/CostosMargenes.jsx,790,producto.sistema_origen === 'SOFTRESTAURANT_PRO'
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/frontend/src/pages/comercial/CostosMargenes.jsx,794,{producto.sistema_origen === 'SOFTRESTAURANT_PRO' ? 'SoftRestaurant' : 'MPRO'}
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/frontend/src/pages/comercial/CostosMargenes.jsx,1103,solicitud.system_type === 'SOFTRESTAURANT_PRO'
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/frontend/src/pages/comercial/CostosMargenes.jsx,1107,{solicitud.system_type === 'SOFTRESTAURANT_PRO' ? 'SoftRestaurant' : 'MPRO'}
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/frontend/src/pages/comercial/CostosMargenes.jsx,1837,{prod.sistema_origen === 'SOFTRESTAURANT_PRO' ? 'SUSPENDIDO' : 'BAJA'}
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/frontend/src/pages/comercial/CostosMargenes.jsx,1849,prod.sistema_origen === 'SOFTRESTAURANT_PRO'
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/frontend/src/pages/comercial/CostosMargenes.jsx,1853,{prod.sistema_origen === 'SOFTRESTAURANT_PRO' ? 'SR' : 'MPRO'}
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/frontend/src/pages/comercial/CostosMargenes.jsx,1987,{prod.sistema_origen === 'SOFTRESTAURANT_PRO' ? 'SUSPENDIDO' : 'BAJA'}
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/frontend/src/pages/comercial/CostosMargenes.jsx,1999,prod.sistema_origen === 'SOFTRESTAURANT_PRO'
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/frontend/src/pages/comercial/CostosMargenes.jsx,2003,{prod.sistema_origen === 'SOFTRESTAURANT_PRO' ? 'SR' : 'MPRO'}
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/frontend/src/pages/comercial/CostosMargenes.jsx,3177,sol.system_type === 'SOFTRESTAURANT_PRO'
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/frontend/src/pages/comercial/CostosMargenes.jsx,3181,{sol.system_type === 'SOFTRESTAURANT_PRO' ? 'SR' : 'MPRO'}
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Compras,pytds.connect,/app/backend/modules/compras/historical_kpis_repository.py,50,return pytds.connect(
ALTA,PROHIBIDO_FRONTEND_FILTROS,Compras,frontend api servers,/app/backend/tests/test_compras_analisis.py,30,"servers_response = requests.get(f""{BASE_URL}/api/servers"", headers=self.headers)"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Compras,remote POS names,/app/backend/tests/test_compras_analisis.py,188,"f""{BASE_URL}/api/compras/facturas-proveedor/{self.softrestaurant_server['id']}"","
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Compras,remote POS names,/app/backend/tests/test_compras_analisis.py,205,"f""{BASE_URL}/api/compras/facturas-proveedor/{self.softrestaurant_server['id']}"","
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Compras,remote POS names,/app/backend/tests/test_compras_analisis.py,238,"f""{BASE_URL}/api/compras/detalle-factura/{self.softrestaurant_server['id']}/TEST-001"","
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Compras,remote POS names,/app/backend/tests/test_compras_analisis.py,250,"f""{BASE_URL}/api/compras/detalle-factura/{self.softrestaurant_server['id']}/TEST-001"","
ALTA,PROHIBIDO_FRONTEND_FILTROS,Compras,frontend api servers,/app/backend/tests/test_compras_analisis.py,280,"servers_response = requests.get(f""{BASE_URL}/api/servers"", headers=self.headers)"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Compras,remote POS names,/app/backend/tests/test_compras_analisis.py,289,def test_mpro_analisis_endpoint(self):
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Compras,remote POS names,/app/backend/tests/test_compras_analisis.py,290,"""""""Test analisis endpoint for MPRO server"""""""
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Compras,remote POS names,/app/backend/tests/test_compras_analisis.py,296,"f""{BASE_URL}/api/servers/{self.mpro_server['id']}/sucursales"","
ALTA,PROHIBIDO_FRONTEND_FILTROS,Compras,frontend api servers,/app/backend/tests/test_compras_analisis.py,296,"f""{BASE_URL}/api/servers/{self.mpro_server['id']}/sucursales"","
ALTA,PROHIBIDO_FRONTEND_FILTROS,Compras,frontend api servers,/app/backend/tests/test_compras_module.py,72,"f""{BASE_URL}/api/servers"","
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Compras,remote POS names,/app/backend/tests/test_compras_module.py,88,"f""{BASE_URL}/api/servers/{MPRO_SERVER_ID}/sucursales"","
ALTA,PROHIBIDO_FRONTEND_FILTROS,Compras,frontend api servers,/app/backend/tests/test_compras_module.py,88,"f""{BASE_URL}/api/servers/{MPRO_SERVER_ID}/sucursales"","
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Compras,remote POS names,/app/backend/tests/test_compras_module.py,111,"f""{BASE_URL}/api/servers/{MPRO_SERVER_ID}/sucursales"","
ALTA,PROHIBIDO_FRONTEND_FILTROS,Compras,frontend api servers,/app/backend/tests/test_compras_module.py,111,"f""{BASE_URL}/api/servers/{MPRO_SERVER_ID}/sucursales"","
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Compras,remote POS names,/app/backend/tests/test_compras_module.py,121,"f""{BASE_URL}/api/servers/{MPRO_SERVER_ID}/almacenes?sucursal={sucursal_nombre}"","
ALTA,PROHIBIDO_FRONTEND_FILTROS,Compras,frontend api servers,/app/backend/tests/test_compras_module.py,121,"f""{BASE_URL}/api/servers/{MPRO_SERVER_ID}/almacenes?sucursal={sucursal_nombre}"","
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Compras,remote POS names,/app/backend/tests/test_compras_module.py,158,"f""{BASE_URL}/api/servers/{MPRO_SERVER_ID}/sucursales"","
